colony,Year,estimate,species,se
PLI,1977,100000,TBMU,
PLI,1978,,TBMU,
PLI,1979,,TBMU,
PLI,1980,117745.8456,TBMU,8116.649076
PLI,1981,,TBMU,
PLI,1982,,TBMU,
PLI,1983,,TBMU,
PLI,1984,108270.4729,TBMU,8927.088985
PLI,1985,,TBMU,
PLI,1986,,TBMU,
PLI,1987,122521.4072,TBMU,6643.666468
PLI,1988,131494.464,TBMU,14799.78229
PLI,1989,,TBMU,
PLI,1990,,TBMU,
PLI,1991,,TBMU,
PLI,1992,,TBMU,
PLI,1993,,TBMU,
PLI,1994,,TBMU,
PLI,1995,,TBMU,
PLI,1996,,TBMU,
PLI,1997,,TBMU,
PLI,1998,,TBMU,
PLI,1999,,TBMU,
PLI,2000,147835.6986,TBMU,11912.72978
PLI,2001,129430.2934,TBMU,10961.56164
PLI,2002,120487.8069,TBMU,11125.18927
PLI,2003,144619.1803,TBMU,16828.51931
PLI,2004,,TBMU,
PLI,2005,136804.7475,TBMU,7429.051351
PLI,2006,,TBMU,
PLI,2007,,TBMU,
PLI,2008,144143.8091,TBMU,13867.59321
PLI,2009,167373.0419,TBMU,12095.86715
Coats,1985,29133.46215,TBMU,5148.095342
Coats,1986,28863.1319,TBMU,3437.572949
Coats,1987,32479.2609,TBMU,3683.347371
Coats,1988,34962.35652,TBMU,5555.802659
Coats,1989,35563.09808,TBMU,4988.484946
Coats,1990,30411.26172,TBMU,5035.191621
Coats,1991,29805.07908,TBMU,4496.105485
Coats,1992,32102.23259,TBMU,5190.858527
Coats,1993,33764.44708,TBMU,3641.41964
Coats,1994,38860.49587,TBMU,7434.599468
Coats,1995,35292.99208,TBMU,6996.06346
Coats,1996,35025.14316,TBMU,4348.339741
Coats,1997,41868.46865,TBMU,6690.712531
Coats,1998,40991.47927,TBMU,8613.141498
Coats,1999,42394.52691,TBMU,6946.77446
Coats,2000,39829.7622,TBMU,6008.130783
Coats,2001,42383.04696,TBMU,6795.076176
Coats,2002,37307.00335,TBMU,3414.00906
Coats,2003,40209.27612,TBMU,4582.936163
Coats,2004,43871.14006,TBMU,7414.943069
Coats,2005,41072.71971,TBMU,5310.563011
Coats,2006,42992.98821,TBMU,6737.411601
Coats,2007,42530.36595,TBMU,5330.597367
Coats,2008,42838.13809,TBMU,5825.250986
Coats,2009,42710.00496,TBMU,5985.340038
Digges,1985,194297.9037,TBMU,22776.40295
Digges,1986,,TBMU,
Digges,1987,,TBMU,
Digges,1988,,TBMU,
Digges,1989,,TBMU,
Digges,1990,170457.3506,TBMU,31125.94877
Digges,1991,,TBMU,
Digges,1992,188468.971,TBMU,15762.46193
Digges,1993,185404.5409,TBMU,17824.15212
Digges,1994,193406.0597,TBMU,24521.22241
Digges,1995,,TBMU,
Digges,1996,,TBMU,
Digges,1997,,TBMU,
Digges,1998,,TBMU,
Digges,1999,199746.9341,TBMU,21963.5757
Digges,2000,,TBMU,
Digges,2001,,TBMU,
Digges,2002,,TBMU,
Digges,2003,,TBMU,
Digges,2004,197667.9063,TBMU,22208.12046
Digges,2005,,TBMU,
Digges,2006,,TBMU,
Digges,2007,,TBMU,
Digges,2008,206251.22,TBMU,24428.20449
Digges,2009,,TBMU,
,1977,100,NOFU,
,1978,,NOFU,
,1979,,NOFU,
,1980,115.392902,NOFU,47.64850286
,1981,,NOFU,
,1982,,NOFU,
,1983,,NOFU,
,1984,,NOFU,
,1985,,NOFU,
,1986,,NOFU,
,1987,,NOFU,
,1988,101.1789282,NOFU,39.17595993
,1989,,NOFU,
,1990,,NOFU,
,1991,,NOFU,
,1992,,NOFU,
,1993,,NOFU,
,1994,,NOFU,
,1995,,NOFU,
,1996,,NOFU,
,1997,,NOFU,
,1998,,NOFU,
,1999,,NOFU,
,2000,,NOFU,
,2001,87.20737158,NOFU,29.21117643
,2002,82.70773876,NOFU,27.72880253
,2003,107.3641201,NOFU,41.65573015
,2004,,NOFU,
,2005,100.9345033,NOFU,28.05120011
,2006,,NOFU,
,2007,,NOFU,
,2008,73.3742737,NOFU,39.66589493
,2009,91.01004745,NOFU,41.31785733
,1977,100,BLKI,
,1978,,BLKI,
,1979,,BLKI,
,1980,90.625,BLKI,
,1981,,BLKI,
,1982,,BLKI,
,1983,,BLKI,
,1984,103.8548753,BLKI,
,1985,,BLKI,
,1986,,BLKI,
,1987,,BLKI,
,1988,90.24943311,BLKI,
,1989,,BLKI,
,1990,,BLKI,
,1991,,BLKI,
,1992,,BLKI,
,1993,,BLKI,
,1994,,BLKI,
,1995,,BLKI,
,1996,,BLKI,
,1997,,BLKI,
,1998,,BLKI,
,1999,,BLKI,
,2000,,BLKI,
,2001,134.1637011,BLKI,
,2002,114.9659864,BLKI,
,2003,102.2675737,BLKI,
,2004,,BLKI,
,2005,153.0612245,BLKI,
,2006,,BLKI,
,2007,,BLKI,
,2008,187.755102,BLKI,
,2009,193.877551,BLKI,
Lyon Inlet,1982,825,THGU,
White Island,1982,425,THGU,
Vansittart,1982,350,THGU,
Lyon Inlet,1994,1150,THGU,
White Island,1994,425,THGU,
Vansittart,1994,180,THGU,
Lyon Inlet,2006,800,THGU,
White Island,2006,390,THGU,
Vansittart,2006,375,THGU,
Lyon Inlet,2009,1250,THGU,
White Island,2009,550,THGU,
Vansittart,2009,525,THGU,
