"species","nknots mncount","ncolony","ncounts","mncount","maxcount","REML Poisson","REML quasiPoisson","REML nb","AIC Poisson","AIC quasiPoisson","AIC nb","df Poisson","df quasiPoisson","df nb","AIC nb nknoto","AIC nb 9"
"LESP",0,92,177,1.92391304347826,9,309709.121274517,311.954111276046,727.832523353363,620186.296666932,NA,2439.86868153831,8.9995183172947,5.02056462469441,1.52792583358902,2438.46709421287,2439.79759949063
"BLKI",3,21,149,7.09523809523809,27,24064.2784044434,530.639338635042,1095.46865523432,47955.6354931566,NA,2240.41108358973,8.99874677109245,8.32587358378989,1.44237627479823,2240.3425800728,2240.41267261732
"RAZO",2,15,87,5.8,20,5121.27843096515,267.479087075559,597.075336653239,10131.888097032,NA,1213.43765586198,8.96244326421323,5.93476231642133,3.40745721615266,1219.27661937918,1213.40301205438
"COTE",4,8,82,10.25,18,17632.733073608,300.966029434674,640.591528427319,35165.8611349227,NA,1289.40266069478,8.95664196827484,1.00040693640994,1.00100902362779,1289.40185087684,1289.40254311009
"ROST",4,4,79,19.75,23,377.049450980867,111.571027003527,308.915488219812,724.761782890157,NA,613.494691995479,7.76153146555925,4.30097765178352,3.10666225545586,613.590014534482,613.503666697899
"NOFU",4,4,76,19,38,466.178980923572,130.624328449837,282.856659910073,891.964373294171,NA,568.536512842264,8.77531689264639,4.03597831886732,2.60352987724149,568.95027646036,568.601207798121
"ATPU",2,13,75,5.76923076923077,20,93854.9299653438,343.865873745184,710.933540183943,187543.828192812,NA,1435.46098015051,8.99802300139488,3.59528138268505,2.03336335885071,1436.00245129245,1435.45810833562
"COMU",2,14,68,4.85714285714286,18,47636.6086638189,296.215034307069,657.743592493014,95108.345679494,NA,1348.53152525878,8.99846604647658,4.45716904830437,1.00223676343422,1348.5320123359,1348.53169395396
"NOGA",4,5,64,12.8,18,9819.58406874083,234.624681462501,633.862202461825,19550.9450524186,NA,1265.44185268672,8.85513959442965,4.6646031442952,1.53327392629688,1265.35689855375,1265.43952221424
"HERG",2,9,51,5.66666666666667,10,7157.40361507225,194.625510067829,437.490956848028,14189.1938996435,NA,873.870457343914,8.99676479925795,5.95572716030253,3.34833436348096,876.554113674346,873.961850996391
"GBBG",2,9,48,5.33333333333333,10,2224.47683806642,146.841695832429,335.429640734232,4362.33353381839,NA,675.088962197767,8.94595587935699,3.60577217109042,2.3656755670147,674.354622787927,675.08159435164
"ARTE",4,3,46,15.3333333333333,18,6884.92447264306,165.578391451172,353.579207317624,13701.9443724642,NA,707.625999349687,8.9417769215753,4.1485297480339,2.66280742425536,708.252085507985,707.609682943049
"BLGU",4,5,41,8.2,16,1991.67093641512,123.081884432571,269.824071866199,3914.5007108902,NA,545.235086681993,8.89861047282031,2.53383733106524,2.59755179028208,545.202229435662,545.22559335738
"RBGU",3,4,26,6.5,10,2951.12150992683,94.1000569708339,197.371674244177,5818.49239140811,NA,405.750693145775,8.98609929941037,3.344341722934,1.0002903476222,405.750683164848,405.751020860033
"TBMU",1,8,22,2.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRCO",3,3,20,6.66666666666667,10,416.308266650851,56.7669615812622,130.6059733954,778.349165807573,NA,264.327606191055,8.8445331479795,2.53416528813845,2.21456319439643,264.157494791187,264.320156353246
"DCCO",3,3,20,6.66666666666667,10,1824.22019017678,74.8729603206592,173.882260435797,3574.41215326385,NA,347.775968734629,8.96693864266396,1.0002068626402,1.568159938145,347.891662600678,347.775134742006
"COEI",3,2,14,7,9,203.065446450423,55.1041430127018,120.323037480685,333.468420422825,NA,232.209666659632,8.9036577338603,7.4943117455195,4.80005719953966,239.254663789334,231.999039863241
"RTLO",4,1,10,10,10,38.429417078148,8.0731202765819,38.42942636891,71.4443720556147,NA,71.4444166938407,1.00004503962392,1.00001535326629,1.00000635136878,71.4444106991458,71.4444152739793
"CATE",4,1,10,10,10,28.4369166733928,12.104845031513,25.5942849866384,46.1275500333754,NA,54.7596650810272,6.28409412486531,1.0000200824837,1.0000133832744,54.7596708889676,54.759673672221
